scenario,attr1,attr2,attr3,attr4,attr5,v_1_2,v_1_3,v_1_4,v_1_5,v_2_3,v_2_4,v_2_5,v_3_4,v_3_5,v_4_5
loose_leaf_tea,-50,48,0,0,0,0,0,0,0,0,0,0,91,0,0
cutting_board,-16,-37,-2,0,0,0,0,0,0,0,0,0,0,0,-94
knee_pads,0,0,-30,50,45,-51,0,0,0,0,0,0,0,0,0
ice_cream,0,0,39,19,48,-98,0,0,0,0,0,0,0,0,0
painters_tape,-11,0,0,0,-50,0,0,0,0,0,0,0,51,0,0
olive_pitter,-10,0,0,-48,16,0,0,0,0,-97,0,0,0,0,0
wood_burner,0,26,24,50,0,0,0,0,68,0,0,0,0,0,0
hotel,0,0,46,0,12,65,0,0,0,0,0,0,0,0,0
hot_glue_sticks,32,0,22,0,50,0,0,0,0,0,-78,0,0,0,0
scrunchie,0,0,-43,44,-16,52,0,0,0,0,0,0,0,0,0
rfid_wallet,0,50,16,0,21,0,0,-50,0,0,0,0,0,0,0
blush,38,6,50,0,0,0,0,0,0,0,0,0,0,0,79
cocktail_kit,50,20,0,28,0,0,0,0,0,0,0,0,0,-83,0
security_camera,31,-32,0,-2,0,0,0,0,0,0,0,0,0,-82,0
shuffleboard_table,-8,32,-8,0,0,0,0,0,0,0,0,0,0,0,79
reusable_bag,0,48,0,8,-50,0,52,0,0,0,0,0,0,0,0
luggage_tag,35,0,0,-50,-50,0,0,0,0,-67,0,0,0,0,0
inversion_table,-46,14,0,-50,0,0,0,0,0,0,0,0,0,-92,0
shower_curtain,0,0,-10,-39,-6,74,0,0,0,0,0,0,0,0,0
milk_storage_bags,0,50,-41,-42,0,0,0,0,51,0,0,0,0,0,0
nail_file,-30,-11,0,50,0,0,0,0,0,0,0,0,0,84,0
pasta_maker,35,50,0,20,0,0,0,0,0,0,0,0,0,-75,0
washing_machine,0,50,26,0,39,0,0,-53,0,0,0,0,0,0,0
easel,-22,0,-22,50,0,0,0,0,0,0,0,58,0,0,0
salmon,-50,38,-47,0,0,0,0,0,0,0,0,0,0,0,60
magnetic_calendar,0,40,30,14,0,0,0,0,56,0,0,0,0,0,0
ham,-37,0,-8,-38,0,0,0,0,0,0,0,82,0,0,0
snow_blower,0,-18,38,42,0,0,0,0,86,0,0,0,0,0,0
ecg_monitor,42,-24,0,26,0,0,0,0,0,0,0,0,0,93,0
dslr_camera,0,29,4,0,-50,0,0,-60,0,0,0,0,0,0,0
convertible,50,0,32,0,42,0,0,0,0,0,71,0,0,0,0
washi_tape,-44,-30,0,0,24,0,0,0,0,0,0,0,-87,0,0
dry_bag,0,-43,-50,0,40,0,0,-71,0,0,0,0,0,0,0
hair_dryer,-45,10,50,0,0,0,0,0,0,0,0,0,0,0,-67
balance_board,0,-26,0,-48,50,0,-68,0,0,0,0,0,0,0,0
hoodie,0,0,-42,-40,40,-65,0,0,0,0,0,0,0,0,0
loan,0,13,-50,0,27,0,0,-77,0,0,0,0,0,0,0
mold_test,44,0,0,44,-22,0,0,0,0,70,0,0,0,0,0
boxing_gloves,-41,0,0,-50,50,0,0,0,0,78,0,0,0,0,0
citrus_juicer,-12,-12,0,0,12,0,0,0,0,0,0,0,-66,0,0
stopwatch,-30,0,50,0,20,0,0,0,0,0,61,0,0,0,0
fins,5,-23,0,0,-26,0,0,0,0,0,0,0,-91,0,0
lip_scrub,0,-18,-29,0,-49,0,0,100,0,0,0,0,0,0,0
hoe,44,50,-25,0,0,0,0,0,0,0,0,0,0,0,-65
pilates_ring,0,42,0,-32,50,0,-90,0,0,0,0,0,0,0,0
oven,0,26,0,-3,36,0,54,0,0,0,0,0,0,0,0
sparkling_water,2,0,-44,0,-50,0,0,0,0,0,56,0,0,0,0
gas_can,28,45,0,-50,0,0,0,0,0,0,0,0,0,-99,0
golf_cart,0,50,38,50,0,0,0,0,-69,0,0,0,0,0,0
tongs,0,-50,0,24,-36,0,77,0,0,0,0,0,0,0,0
sippy_cup,7,0,50,0,-15,0,0,0,0,0,-66,0,0,0,0
windshield_cover,-2,0,45,0,-50,0,0,0,0,0,-87,0,0,0,0
console,-50,-32,44,0,0,0,0,0,0,0,0,0,0,0,-64
stapler,0,-38,-22,46,0,0,0,0,-70,0,0,0,0,0,0
jewelry_kit,-1,0,0,-16,11,0,0,0,0,-53,0,0,0,0,0
antenna,0,31,17,-16,0,0,0,0,69,0,0,0,0,0,0
house,28,50,-18,0,0,0,0,0,0,0,0,0,0,0,-57
electric_grill,0,50,8,-35,0,0,0,0,-81,0,0,0,0,0,0
tea,0,0,-22,2,-50,-66,0,0,0,0,0,0,0,0,0
lint_roller,14,-26,45,0,0,0,0,0,0,0,0,0,0,0,-78
diaper_bag,40,0,40,50,0,0,0,0,0,0,0,-70,0,0,0
