scenario,i,j,attribute_i,attribute_j,pair_column,v,main_i,main_j,active
loose_leaf_tea,1,2,caffeine_content,leaf_size,v_1_2,0.0,-50.0,48.0,False
loose_leaf_tea,1,3,caffeine_content,oxidation_level,v_1_3,0.0,-50.0,0.0,False
loose_leaf_tea,1,4,caffeine_content,steeping_time,v_1_4,0.0,-50.0,0.0,False
loose_leaf_tea,1,5,caffeine_content,resteep_potential,v_1_5,0.0,-50.0,0.0,False
loose_leaf_tea,2,3,leaf_size,oxidation_level,v_2_3,0.0,48.0,0.0,False
loose_leaf_tea,2,4,leaf_size,steeping_time,v_2_4,0.0,48.0,0.0,False
loose_leaf_tea,2,5,leaf_size,resteep_potential,v_2_5,0.0,48.0,0.0,False
loose_leaf_tea,3,4,oxidation_level,steeping_time,v_3_4,91.0,0.0,0.0,True
loose_leaf_tea,3,5,oxidation_level,resteep_potential,v_3_5,0.0,0.0,0.0,False
loose_leaf_tea,4,5,steeping_time,resteep_potential,v_4_5,0.0,0.0,0.0,False
cutting_board,1,2,board_thickness,surface_area,v_1_2,0.0,-16.0,-37.0,False
cutting_board,1,3,board_thickness,knife_mark_resistance,v_1_3,0.0,-16.0,-2.0,False
cutting_board,1,4,board_thickness,grip_stability,v_1_4,0.0,-16.0,0.0,False
cutting_board,1,5,board_thickness,ease_of_cleaning,v_1_5,0.0,-16.0,0.0,False
cutting_board,2,3,surface_area,knife_mark_resistance,v_2_3,0.0,-37.0,-2.0,False
cutting_board,2,4,surface_area,grip_stability,v_2_4,0.0,-37.0,0.0,False
cutting_board,2,5,surface_area,ease_of_cleaning,v_2_5,0.0,-37.0,0.0,False
cutting_board,3,4,knife_mark_resistance,grip_stability,v_3_4,0.0,-2.0,0.0,False
cutting_board,3,5,knife_mark_resistance,ease_of_cleaning,v_3_5,0.0,-2.0,0.0,False
cutting_board,4,5,grip_stability,ease_of_cleaning,v_4_5,-94.0,0.0,0.0,True
knee_pads,1,2,padding_thickness,strap_width,v_1_2,-51.0,0.0,0.0,True
knee_pads,1,3,padding_thickness,ventilation_holes,v_1_3,0.0,0.0,-30.0,False
knee_pads,1,4,padding_thickness,impact_rating,v_1_4,0.0,0.0,50.0,False
knee_pads,1,5,padding_thickness,coverage_area,v_1_5,0.0,0.0,45.0,False
knee_pads,2,3,strap_width,ventilation_holes,v_2_3,0.0,0.0,-30.0,False
knee_pads,2,4,strap_width,impact_rating,v_2_4,0.0,0.0,50.0,False
knee_pads,2,5,strap_width,coverage_area,v_2_5,0.0,0.0,45.0,False
knee_pads,3,4,ventilation_holes,impact_rating,v_3_4,0.0,-30.0,50.0,False
knee_pads,3,5,ventilation_holes,coverage_area,v_3_5,0.0,-30.0,45.0,False
knee_pads,4,5,impact_rating,coverage_area,v_4_5,0.0,50.0,45.0,False
ice_cream,1,2,creaminess,mix_in_density,v_1_2,-98.0,0.0,0.0,True
ice_cream,1,3,creaminess,serving_size,v_1_3,0.0,0.0,39.0,False
ice_cream,1,4,creaminess,flavor_intensity,v_1_4,0.0,0.0,19.0,False
ice_cream,1,5,creaminess,smoothness,v_1_5,0.0,0.0,48.0,False
ice_cream,2,3,mix_in_density,serving_size,v_2_3,0.0,0.0,39.0,False
ice_cream,2,4,mix_in_density,flavor_intensity,v_2_4,0.0,0.0,19.0,False
ice_cream,2,5,mix_in_density,smoothness,v_2_5,0.0,0.0,48.0,False
ice_cream,3,4,serving_size,flavor_intensity,v_3_4,0.0,39.0,19.0,False
ice_cream,3,5,serving_size,smoothness,v_3_5,0.0,39.0,48.0,False
ice_cream,4,5,flavor_intensity,smoothness,v_4_5,0.0,19.0,48.0,False
painters_tape,1,2,clean_removal_time,uv_resistance,v_1_2,0.0,-11.0,0.0,False
painters_tape,1,3,clean_removal_time,width,v_1_3,0.0,-11.0,0.0,False
painters_tape,1,4,clean_removal_time,paint_bleed_resistance,v_1_4,0.0,-11.0,0.0,False
painters_tape,1,5,clean_removal_time,roll_length,v_1_5,0.0,-11.0,-50.0,False
painters_tape,2,3,uv_resistance,width,v_2_3,0.0,0.0,0.0,False
painters_tape,2,4,uv_resistance,paint_bleed_resistance,v_2_4,0.0,0.0,0.0,False
painters_tape,2,5,uv_resistance,roll_length,v_2_5,0.0,0.0,-50.0,False
painters_tape,3,4,width,paint_bleed_resistance,v_3_4,51.0,0.0,0.0,True
painters_tape,3,5,width,roll_length,v_3_5,0.0,0.0,-50.0,False
painters_tape,4,5,paint_bleed_resistance,roll_length,v_4_5,0.0,0.0,-50.0,False
olive_pitter,1,2,pitting_speed,splash_containment,v_1_2,0.0,-10.0,0.0,False
olive_pitter,1,3,pitting_speed,pit_accuracy,v_1_3,0.0,-10.0,0.0,False
olive_pitter,1,4,pitting_speed,olive_damage,v_1_4,0.0,-10.0,-48.0,False
olive_pitter,1,5,pitting_speed,handle_comfort,v_1_5,0.0,-10.0,16.0,False
