scenario,position,attribute,units,weight,cut_column,cut_percent,cut_value,range_min,range_max,active
loose_leaf_tea,1,caffeine_content,mg per cup,-100.0,cut1,0.0,0.0,0.0,70.0,False
loose_leaf_tea,2,leaf_size,millimeters,95.0,cut2,0.0,0.0,0.1,10.0,False
loose_leaf_tea,3,oxidation_level,percent,72.0,cut3,0.0,0.0,0.0,100.0,False
loose_leaf_tea,4,steeping_time,minutes,0.0,cut4,60.0,5.0,1.0,7.0,True
loose_leaf_tea,5,resteep_potential,number of steeps,-1.0,cut5,0.0,1.0,1.0,8.0,False
cutting_board,1,board_thickness,centimeters,32.0,cut1,0.0,1.0,1.0,5.0,False
cutting_board,2,surface_area,square centimeters,61.0,cut2,0.0,300.0,300.0,1200.0,False
cutting_board,3,knife_mark_resistance,resistance rating,-86.0,cut3,0.0,1.0,1.0,10.0,False
cutting_board,4,grip_stability,stability rating,0.0,cut4,68.0,7.0,1.0,10.0,True
cutting_board,5,ease_of_cleaning,cleaning ease rating,71.0,cut5,0.0,1.0,1.0,10.0,False
knee_pads,1,padding_thickness,millimeters,0.0,cut1,50.0,20.0,10.0,30.0,True
knee_pads,2,strap_width,millimeters,-100.0,cut2,0.0,20.0,20.0,50.0,False
knee_pads,3,ventilation_holes,count,-11.0,cut3,0.0,2.0,2.0,12.0,False
knee_pads,4,impact_rating,joules,44.0,cut4,0.0,5.0,5.0,20.0,False
knee_pads,5,coverage_area,square inches,-54.0,cut5,0.0,12.0,12.0,30.0,False
ice_cream,1,creaminess,percent milk fat,-99.0,cut1,0.0,10.0,10.0,18.0,False
ice_cream,2,mix_in_density,pieces per scoop,0.0,cut2,57.0,11.0,0.0,20.0,True
ice_cream,3,serving_size,ounces,9.0,cut3,0.0,4.0,4.0,16.0,False
ice_cream,4,flavor_intensity,percent strength,93.0,cut4,0.0,20.0,20.0,100.0,False
ice_cream,5,smoothness,ice crystal size in microns,-25.0,cut5,0.0,10.0,10.0,50.0,False
painters_tape,1,clean_removal_time,days,51.0,cut1,0.0,7.0,7.0,60.0,False
painters_tape,2,uv_resistance,days,6.0,cut2,0.0,3.0,3.0,21.0,False
painters_tape,3,width,millimeters,0.0,cut3,44.0,45.0,24.0,72.0,True
painters_tape,4,paint_bleed_resistance,rating out of 10,100.0,cut4,0.0,6.0,6.0,10.0,False
painters_tape,5,roll_length,yards,12.0,cut5,0.0,30.0,30.0,180.0,False
olive_pitter,1,pitting_speed,olives per minute,39.0,cut1,0.0,10.0,10.0,50.0,False
olive_pitter,2,splash_containment,percent of juice contained,58.0,cut2,0.0,70.0,70.0,100.0,False
olive_pitter,3,pit_accuracy,percent of pits successfully removed,100.0,cut3,0.0,90.0,90.0,100.0,False
olive_pitter,4,olive_damage,percent of olives damaged,94.0,cut4,0.0,0.0,0.0,15.0,False
olive_pitter,5,handle_comfort,comfort rating,0.0,cut5,36.0,4.0,1.0,10.0,True
wood_burner,1,max_temperature,degrees fahrenheit,-64.0,cut1,0.0,750.0,750.0,1100.0,False
wood_burner,2,heat_up_time,seconds,100.0,cut2,0.0,15.0,15.0,120.0,False
wood_burner,3,tip_varieties,number of tips,73.0,cut3,0.0,5.0,5.0,30.0,False
wood_burner,4,cord_length,feet,-77.0,cut4,0.0,3.0,3.0,12.0,False
wood_burner,5,temperature_stability,temperature variance in degrees,0.0,cut5,57.0,31.0,5.0,50.0,True
hotel,1,distance_to_city_center,miles,2.0,cut1,0.0,0.1,0.1,5.0,False
hotel,2,room_size,square feet,87.0,cut2,0.0,200.0,200.0,600.0,False
hotel,3,guest_rating,stars out of 5,-66.0,cut3,0.0,3.0,3.0,5.0,False
hotel,4,noise_level,decibels,0.0,cut4,62.0,55.0,30.0,70.0,True
hotel,5,age_of_property,years,100.0,cut5,0.0,0.0,0.0,50.0,False
hot_glue_sticks,1,stick_length,inches,-30.0,cut1,0.0,4.0,4.0,12.0,False
hot_glue_sticks,2,holding_strength,pounds per square inch,0.0,cut2,53.0,312.0,100.0,500.0,True
hot_glue_sticks,3,drying_time,seconds,-6.0,cut3,0.0,10.0,10.0,60.0,False
hot_glue_sticks,4,flexibility_when_dry,degrees of bend,69.0,cut4,0.0,5.0,5.0,45.0,False
hot_glue_sticks,5,quantity_per_pack,pieces,-27.0,cut5,0.0,10.0,10.0,100.0,False
scrunchie,1,scrunchie_diameter,inches,24.0,cut1,0.0,3.0,3.0,6.0,False
scrunchie,2,elastic_strength,newtons,100.0,cut2,0.0,1.0,1.0,5.0,False
scrunchie,3,fabric_volume,cubic inches,86.0,cut3,0.0,2.0,2.0,10.0,False
scrunchie,4,ruffle_depth,inches,-62.0,cut4,0.0,0.5,0.5,3.0,False
scrunchie,5,fabric_softness,softness rating,0.0,cut5,36.0,4.0,1.0,10.0,True
rfid_wallet,1,blocking_effectiveness,percent of signals blocked,0.0,cut1,49.0,95.0,90.0,99.9,True
rfid_wallet,2,card_capacity,number of cards,4.0,cut2,0.0,4.0,4.0,16.0,False
rfid_wallet,3,expected_lifespan,years,-23.0,cut3,0.0,1.0,1.0,10.0,False
rfid_wallet,4,thickness,millimeters,-2.0,cut4,0.0,6.0,6.0,25.0,False
rfid_wallet,5,scratch_resistance,hardness rating,-100.0,cut5,0.0,1.0,1.0,10.0,False
blush,1,color_intensity,percent pigmentation,42.0,cut1,0.0,10.0,10.0,100.0,False
blush,2,blend_time,seconds to blend,100.0,cut2,0.0,5.0,5.0,60.0,False
blush,3,staying_power,hours,19.0,cut3,0.0,2.0,2.0,16.0,False
blush,4,shimmer_level,percent light reflection,-22.0,cut4,0.0,0.0,0.0,100.0,False
blush,5,buildability,number of layers possible,0.0,cut5,44.0,2.8,1.0,5.0,True
cocktail_kit,1,number_of_tools,pieces,100.0,cut1,0.0,6.0,6.0,20.0,False
cocktail_kit,2,shaker_capacity,ounces,56.0,cut2,0.0,16.0,16.0,32.0,False
cocktail_kit,3,number_of_recipes,recipes included,8.0,cut3,0.0,25.0,25.0,100.0,False
cocktail_kit,4,tool_durability,years of expected use,75.0,cut4,0.0,2.0,2.0,10.0,False
cocktail_kit,5,storage_case_size,cubic inches,0.0,cut5,52.0,512.0,200.0,800.0,True
security_camera,1,resolution,megapixels,0.0,cut1,54.0,7.0,2.0,12.0,True
security_camera,2,field_of_view,degrees,17.0,cut2,0.0,90.0,90.0,180.0,False
security_camera,3,night_vision_range,feet,-9.0,cut3,0.0,15.0,15.0,100.0,False
security_camera,4,storage_capacity,gigabytes,-51.0,cut4,0.0,32.0,32.0,512.0,False
security_camera,5,motion_detection_range,feet,11.0,cut5,0.0,10.0,10.0,50.0,False
shuffleboard_table,1,playing_surface_length,feet,73.0,cut1,0.0,9.0,9.0,22.0,False
shuffleboard_table,2,climate_adjustability,adjustment points,83.0,cut2,0.0,3.0,3.0,9.0,False
shuffleboard_table,3,surface_flatness,deviation in millimeters,100.0,cut3,0.0,0.1,0.1,2.0,False
shuffleboard_table,4,wood_hardness,Janka hardness rating,62.0,cut4,0.0,950.0,950.0,2500.0,False
shuffleboard_table,5,puck_smoothness,glide rating,0.0,cut5,65.0,7.0,1.0,10.0,True
reusable_bag,1,load_capacity,pounds,-65.0,cut1,0.0,10.0,10.0,50.0,False
reusable_bag,2,folded_volume,cubic inches,100.0,cut2,0.0,2.0,2.0,20.0,False
reusable_bag,3,strap_length,inches,-4.0,cut3,0.0,12.0,12.0,30.0,False
reusable_bag,4,washability,number of washes before degrading,-30.0,cut4,0.0,20.0,20.0,200.0,False
reusable_bag,5,water_resistance,minutes in rain before soaking,0.0,cut5,56.0,69.0,5.0,120.0,True
luggage_tag,1,durability_rating,years of expected life,-10.0,cut1,0.0,1.0,1.0,10.0,False
luggage_tag,2,visibility_distance,feet,-93.0,cut2,0.0,5.0,5.0,30.0,False
luggage_tag,3,information_capacity,characters,-100.0,cut3,0.0,50.0,50.0,500.0,False
luggage_tag,4,water_resistance,hours in rain,25.0,cut4,0.0,1.0,1.0,48.0,False
luggage_tag,5,attachment_strength,pounds of force to break,0.0,cut5,51.0,28.0,5.0,50.0,True
inversion_table,1,max_inversion_angle,degrees,0.0,cut1,65.0,128.0,30.0,180.0,True
