scenario,attr1,attr2,attr3,attr4,attr5,cut1,cut2,cut3,cut4,cut5
loose_leaf_tea,-100,95,72,0,-1,0,0,0,60,0
cutting_board,32,61,-86,0,71,0,0,0,68,0
knee_pads,0,-100,-11,44,-54,50,0,0,0,0
ice_cream,-99,0,9,93,-25,0,57,0,0,0
painters_tape,51,6,0,100,12,0,0,44,0,0
olive_pitter,39,58,100,94,0,0,0,0,0,36
wood_burner,-64,100,73,-77,0,0,0,0,0,57
hotel,2,87,-66,0,100,0,0,0,62,0
hot_glue_sticks,-30,0,-6,69,-27,0,53,0,0,0
scrunchie,24,100,86,-62,0,0,0,0,0,36
rfid_wallet,0,4,-23,-2,-100,49,0,0,0,0
blush,42,100,19,-22,0,0,0,0,0,44
cocktail_kit,100,56,8,75,0,0,0,0,0,52
security_camera,0,17,-9,-51,11,54,0,0,0,0
shuffleboard_table,73,83,100,62,0,0,0,0,0,65
reusable_bag,-65,100,-4,-30,0,0,0,0,0,56
luggage_tag,-10,-93,-100,25,0,0,0,0,0,51
inversion_table,0,-100,-57,-68,18,65,0,0,0,0
shower_curtain,0,93,-72,100,51,31,0,0,0,0
milk_storage_bags,-16,0,-74,-78,100,0,52,0,0,0
nail_file,-46,-74,0,100,35,0,0,59,0,0
pasta_maker,53,0,-100,-49,-41,0,46,0,0,0
washing_machine,0,100,3,-73,26,44,0,0,0,0
easel,-100,-73,45,0,42,0,0,0,64,0
salmon,70,100,27,41,0,0,0,0,0,31
magnetic_calendar,-24,17,0,30,-100,0,0,38,0,0
ham,100,80,0,77,-41,0,0,40,0,0
snow_blower,-17,0,-100,77,-94,0,66,0,0,0
ecg_monitor,0,89,100,76,33,54,0,0,0,0
dslr_camera,-75,-100,18,0,23,0,0,0,36,0
convertible,91,-23,1,0,23,0,0,0,48,0
washi_tape,-99,-61,0,100,58,0,0,57,0,0
dry_bag,-66,40,78,100,0,0,0,0,0,61
hair_dryer,58,0,-95,-100,-80,0,64,0,0,0
balance_board,-84,76,0,100,-39,0,0,37,0,0
hoodie,-46,0,23,100,85,0,67,0,0,0
loan,11,0,-100,-93,79,0,38,0,0,0
mold_test,-56,0,100,-43,25,0,66,0,0,0
boxing_gloves,-98,-55,92,0,100,0,0,0,47,0
citrus_juicer,-81,-94,-42,0,-100,0,0,0,37,0
stopwatch,100,0,-96,88,27,0,37,0,0,0
fins,-14,52,-99,0,-19,0,0,0,64,0
lip_scrub,100,-50,0,-6,-98,0,0,32,0,0
hoe,-100,61,90,0,-38,0,0,0,50,0
pilates_ring,-23,-100,0,23,-10,0,0,43,0,0
oven,73,71,0,94,-8,0,0,46,0,0
sparkling_water,0,-91,-94,-44,100,58,0,0,0,0
gas_can,0,16,-35,-58,100,50,0,0,0,0
golf_cart,0,69,19,100,-60,64,0,0,0,0
tongs,27,75,-100,0,76,0,0,0,34,0
sippy_cup,-47,75,0,-98,-100,0,0,61,0,0
windshield_cover,-8,90,-100,70,0,0,0,0,0,41
console,-88,-96,-98,100,0,0,0,0,0,68
stapler,-44,84,0,88,-100,0,0,69,0,0
jewelry_kit,75,0,84,60,47,0,49,0,0,0
antenna,0,-100,63,49,-72,58,0,0,0,0
house,88,14,12,0,-13,0,0,0,51,0
electric_grill,0,-3,62,91,100,33,0,0,0,0
tea,40,17,0,-75,100,0,0,55,0,0
lint_roller,16,-80,0,-3,-78,0,0,62,0,0
diaper_bag,91,98,0,32,-64,0,0,61,0,0
sponges,41,100,0,-36,24,0,0,44,0,0
popcorn,-100,0,3,84,-75,0,49,0,0,0
recliner,-60,-60,16,0,60,0,0,0,68,0
arrows,-100,0,26,3,-30,0,46,0,0,0
pattern_weights,-17,100,50,0,-1,0,0,0,70,0
wheelbarrow,0,3,-73,50,-100,46,0,0,0,0
soil,28,-51,90,100,0,0,0,0,0,35
sleeping_bag,-12,90,100,0,64,0,0,0,55,0
paper_towel,0,-38,-81,89,100,57,0,0,0,0
outdoor_tv_cover,26,-24,-100,-54,0,0,0,0,0,30
tamper,97,0,17,-99,100,0,46,0,0,0
garment_steamer,-100,-73,0,-77,29,0,0,58,0,0
alcohol_markers,0,65,100,10,-2,43,0,0,0,0
rabbit,0,-30,-55,-100,78,66,0,0,0,0
bracelet,52,0,98,55,100,0,34,0,0,0
adapter,0,38,-100,2,0,0,0,0,0,50
night_light,-100,-12,-10,-39,0,0,0,0,0,61
travel_wallet,-78,84,-24,11,0,0,0,0,0,62
central_vacuum,-69,97,0,4,100,0,0,40,0,0
microwave_cover,-17,56,-100,9,0,0,0,0,0,57
porch_swing,0,-35,26,100,42,61,0,0,0,0
stability_ball,100,0,96,-43,-98,0,70,0,0,0
ink_cartridge,65,-24,-54,-75,0,0,0,0,0,30
wood_glue,-40,0,56,100,12,0,59,0,0,0
sleep_sack,73,-3,-7,-100,0,0,0,0,0,57
mixer,-99,0,-13,-78,49,0,35,0,0,0
dominoes,-34,65,0,-100,-100,0,0,47,0,0
crochet_hook,-100,46,95,37,0,0,0,0,0,33
sawhorse,-100,46,64,95,0,0,0,0,0,44
stockings,-45,0,-7,-100,46,0,46,0,0,0
fabric_markers,99,44,73,-100,0,0,0,0,0,55
cherry_pitter,-59,0,84,92,-100,0,67,0,0,0
amusement_park,-14,100,55,26,0,0,0,0,0,40
snow_brush,-100,0,60,-38,69,0,37,0,0,0
safety_pins,55,56,-49,0,-26,0,0,0,36,0
sewing_machine,0,-95,65,-100,53,61,0,0,0,0
pressure_cooker,44,68,0,24,-34,0,0,37,0,0
necklace_stand,35,0,-85,-82,-15,0,44,0,0,0
soccer_ball,-100,-82,0,-42,-18,0,0,51,0,0
cake_pan,0,-80,-59,-87,-100,60,0,0,0,0
pin_cushion,-43,0,19,100,-24,0,31,0,0,0
sugar_bowl,-100,0,34,-91,-25,0,35,0,0,0
microwave,-8,0,87,-100,-95,0,32,0,0,0
water_heater,100,0,-16,-72,0,0,47,0,0,0
wallpaper,54,100,0,-32,38,0,0,70,0,0
flip_flops,-58,-100,99,21,0,0,0,0,0,65
paint,29,100,86,10,0,0,0,0,0,57
chair,0,-91,-49,23,100,46,0,0,0,0
grill_brush,0,-91,-100,-67,-16,33,0,0,0,0
disc_drive,33,100,0,0,-97,0,0,32,0,0
high_chair,-80,-100,35,0,56,0,0,0,31,0
game_mat,95,-92,-100,0,-79,0,0,0,33,0
museum,63,-50,0,80,83,0,0,36,0,0
tennis_racquet,-30,-100,22,0,-63,0,0,0,67,0
terrarium,-5,-100,85,6,0,0,0,0,0,63
hammock_stand,9,100,0,-53,-86,0,0,54,0,0
electric_kettle,5,-88,-34,16,0,0,0,0,0,50
steam_mop,0,-73,-91,100,8,63,0,0,0,0
faucet,-100,-48,60,0,19,0,0,0,47,0
gold_necklace,0,88,91,100,67,67,0,0,0,0
bocce_set,61,0,5,15,100,0,66,0,0,0
panini_press,56,-31,100,0,-22,0,0,0,68,0
rolling_pin,100,7,-69,-73,0,0,0,0,0,38
cpu_cooler,0,-70,-20,51,-100,64,0,0,0,0
model_scenery,0,50,-68,-100,16,34,0,0,0,0
soda_siphon,87,-84,100,3,0,0,0,0,0,53
loveseat,100,-3,77,0,-75,0,0,0,45,0
egg_carton,0,39,10,100,67,46,0,0,0,0
receiving_blanket,0,-100,7,-24,76,55,0,0,0,0
candlestick_holder,78,7,53,0,-100,0,0,0,30,0
radon_test,-63,-41,0,-100,-77,0,0,62,0,0
wheelchair,82,52,100,9,0,0,0,0,0,48
pizza_cutter,6,9,70,100,0,0,0,0,0,49
leather_dye,-13,0,-15,-97,74,0,46,0,0,0
voip_phone,28,100,48,0,-27,0,0,0,48,0
displayport_cable,0,91,39,91,97,54,0,0,0,0
stool,-66,-65,0,39,100,0,0,54,0,0
croquet_set,-9,0,-30,-18,-100,0,46,0,0,0
water_purifier,-29,-83,64,100,0,0,0,0,0,48
bias_tape_maker,86,69,-24,0,-5,0,0,0,55,0
embroidery_floss,0,-88,-79,100,-58,36,0,0,0,0
sweater,0,-4,100,-22,49,35,0,0,0,0
sculpture,0,100,-99,-62,-17,36,0,0,0,0
air_freshener,47,36,0,49,100,0,0,41,0,0
loafers,0,82,100,80,49,54,0,0,0,0
reading_magnifier,-100,-14,48,-1,0,0,0,0,0,60
beads,-97,-28,100,0,5,0,0,0,64,0
fax_machine,-54,-2,100,11,0,0,0,0,0,51
blanket,91,-100,0,58,-39,0,0,33,0,0
sheets,12,-17,0,100,-79,0,0,47,0,0
hammock,56,-24,-100,-82,0,0,0,0,0,33
card_sleeves,9,31,0,-25,-63,0,0,47,0,0
diamond_earrings,-3,0,31,-80,-100,0,67,0,0,0
clay,44,0,-100,-39,43,0,50,0,0,0
roasting_pan,32,0,-99,100,51,0,35,0,0,0
keyboard,30,73,-100,-73,0,0,0,0,0,42
hair_extensions,1,58,0,-63,100,0,0,69,0,0
envelope,-77,67,0,35,100,0,0,68,0,0
laptop_sleeve,57,0,-98,-40,-100,0,66,0,0,0
3d_printer,-100,-92,0,-86,-40,0,0,63,0,0
egg_separator,-96,0,-77,-21,93,0,36,0,0,0
cereal,40,-50,0,-40,100,0,0,38,0,0
wind_turbine,29,100,-26,48,0,0,0,0,0,60
ereader,16,9,-27,100,0,0,0,0,0,38
water,-100,2,-73,-64,0,0,0,0,0,31
plastic_wrap,0,-92,12,-11,-39,53,0,0,0,0
frying_pan,-90,100,-29,12,0,0,0,0,0,67
mod_podge,-100,0,39,-73,88,0,43,0,0,0
smart_lock,-5,0,89,-45,-69,0,54,0,0,0
briefs,70,-20,100,-74,0,0,0,0,0,30
skincare_device,0,-100,64,-75,50,59,0,0,0,0
coloring_book,-100,-14,38,0,-28,0,0,0,68,0
treadmill,0,-100,70,36,49,37,0,0,0,0
cabinet,31,11,93,18,0,0,0,0,0,52
lug_wrench,94,100,-80,96,0,0,0,0,0,52
mechanical_keyboard,81,-83,0,44,-17,0,0,46,0,0
coffee_mug,32,100,55,0,-13,0,0,0,52,0
badge_maker,-65,100,-19,63,0,0,0,0,0,39
suitcase,-100,39,88,0,32,0,0,0,51,0
mobile,68,0,22,-5,-77,0,55,0,0,0
dish_towel,46,-85,-35,0,33,0,0,0,60,0
pizza_peel,-30,35,37,0,-16,0,0,0,64,0
mittens,-78,-2,-48,0,-100,0,0,0,36,0
ice_tray,68,35,100,-9,0,0,0,0,0,48
aeropress,100,-83,6,0,-59,0,0,0,55,0
milk,0,66,94,-87,63,64,0,0,0,0
laser_cutter,63,0,84,34,-33,0,34,0,0,0
account,60,95,100,-70,0,0,0,0,0,43
minor,-17,68,100,52,0,0,0,0,0,64
batteries,0,-23,-8,15,-100,65,0,0,0,0
cradle,0,69,-100,4,61,49,0,0,0,0
cabin,-9,61,0,-100,17,0,0,64,0,0
all_in_one_printer,28,100,62,0,40,0,0,0,42,0
card_game,-1,0,100,-56,-51,0,69,0,0,0
